[Identifier]:	[Occurrences]
-------------	-------------
n:	23
printf:	19
targetCode:	11
while:	4
price:	27
f:	5
d:	7
book:	10
for:	8
Price:	2
else:	1
found:	3
not:	4
Book:	30
if:	9
numOfBooks:	32
list:	72
FindPrice:	4
scanf:	5
end:	4
to:	11
code:	16
target:	4
a:	15
Enter:	2
do:	4
float:	10
int:	36
struct:	24
CodeSearch:	4
void:	15
of:	34
enters:	3
user:	9
the:	57
until:	2
Loops:	2
its:	3
entering:	2
by:	5
get:	2
Lets:	2
Description:	8
in:	11
books:	21
number:	8
search:	4
Parameters:	7
targetPrice:	10
Count:	4
under:	3
Books:	1
PriceSearch:	4
certain:	1
return:	4
i:	17
zero:	2
disallow:	1
we:	2
first:	1
when:	1
was:	1
indicates:	2
Because:	1
Notes:	1
is:	4
A:	3
given:	2
Return:	2
want:	1
whose:	2
temp:	3
smallest:	9
pos:	9
same:	1
are:	1
codes:	3
their:	1
elements:	1
moving:	1
bother:	1
t:	1
don:	1
But:	1
position:	2
current:	1
into:	1
element:	2
Move:	1
rest:	1
from:	2
Find:	1
last:	1
except:	1
each:	1
through:	1
Loop:	1
Sort:	6
order:	1
ascending:	1
sort:	2
count:	3
than:	1
less:	1
against:	1
compare:	1
index:	6
PRICE:	1
CODE:	1
s:	2
printArray:	5
screen:	1
on:	2
prices:	2
and:	4
Display:	1
aCode:	5
Code:	3
numOfBooksPtr:	7
aPrice:	5
allowed:	1
disallowed:	1
Get:	2
loadArray:	4
input:	1
based:	1
Load:	2
store:	2
variable:	1
pointer:	1
Let:	2
all:	1
sorted:	2
out:	2
Print:	2
MAX:	2
main:	1
define:	1
h:	1
stdio:	1
include:	1
lookups:	1
print:	1
No:	1
Project:	1
c:	1
Proj1:	1
Name:	1
File:	1
Date:	1
Hooker:	1
Chris:	1
Author:	1
Null

